date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:53:52	73674/73674	---M-Z	200	added ('OK')	text/html	etag:%2211fca-5e64667bb9880-gzip%22	https://jobie.dexignzone.com/mobile-app/xhtml/index.html	C:/Users/55119/Desktop/casaApp2/casaApp2/jobie.dexignzone.com/mobile-app/xhtml/index.html	(from )
09:53:53	238/238	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Mar%202023%2012:54:06%20GMT	https://jobie.dexignzone.com/robots.txt		(from )
09:53:54	3286/3286	---M--	200	added ('OK')	image/png	etag:%22cd6-5e292aa405a40%22	https://jobie.dexignzone.com/mobile-app/xhtml/assets/images/favicon.png	C:/Users/55119/Desktop/casaApp2/casaApp2/jobie.dexignzone.com/mobile-app/xhtml/assets/images/favicon.png	(from https://jobie.dexignzone.com/mobile-app/xhtml/index.html)
09:53:54	354/354	---M--	200	added ('OK')	application/json	etag:%22162-5e6456c7fccc0%22	https://jobie.dexignzone.com/mobile-app/xhtml/manifest.json	C:/Users/55119/Desktop/casaApp2/casaApp2/jobie.dexignzone.com/mobile-app/xhtml/manifest.json	(from https://jobie.dexignzone.com/mobile-app/xhtml/index.html)
09:53:55	519064/519064	---M--	200	added ('OK')	image/png	etag:%227eb98-5e29233941a80%22	https://jobie.dexignzone.com/mobile-app/xhtml/social-image.png	C:/Users/55119/Desktop/casaApp2/casaApp2/jobie.dexignzone.com/mobile-app/xhtml/social-image.png	(from https://jobie.dexignzone.com/mobile-app/xhtml/index.html)
09:53:56	369272/369272	---M--	200	added ('OK')	text/css	etag:%225a278-5e292a9f40f00%22	https://jobie.dexignzone.com/mobile-app/xhtml/assets/css/style.css	C:/Users/55119/Desktop/casaApp2/casaApp2/jobie.dexignzone.com/mobile-app/xhtml/assets/css/style.css	(from https://jobie.dexignzone.com/mobile-app/xhtml/index.html)
09:53:56	13916/13916	---M--	200	added ('OK')	text/css	etag:%22365c-5e0c401fb1fc0%22	https://jobie.dexignzone.com/mobile-app/xhtml/assets/vendor/swiper/swiper-bundle.min.css	C:/Users/55119/Desktop/casaApp2/casaApp2/jobie.dexignzone.com/mobile-app/xhtml/assets/vendor/swiper/swiper-bundle.min.css	(from https://jobie.dexignzone.com/mobile-app/xhtml/index.html)
09:53:56	16313/16313	---M--	200	added ('OK')	image/png	etag:%223fb9-5e292ab347e40%22	https://jobie.dexignzone.com/mobile-app/xhtml/assets/images/author/pic1.png	C:/Users/55119/Desktop/casaApp2/casaApp2/jobie.dexignzone.com/mobile-app/xhtml/assets/images/author/pic1.png	(from https://jobie.dexignzone.com/mobile-app/xhtml/index.html)
09:53:57	8497/8497	---M-Z	200	added ('OK')	text/html	etag:%222131-5e29234e3cc00-gzip%22	https://jobie.dexignzone.com/mobile-app/xhtml/welcome.html	C:/Users/55119/Desktop/casaApp2/casaApp2/jobie.dexignzone.com/mobile-app/xhtml/welcome.html	(from https://jobie.dexignzone.com/mobile-app/xhtml/index.html)
09:53:57	54557/54557	---M-Z	200	added ('OK')	text/html	etag:%22d51d-5e292336653c0-gzip%22	https://jobie.dexignzone.com/mobile-app/xhtml/pages.html	C:/Users/55119/Desktop/casaApp2/casaApp2/jobie.dexignzone.com/mobile-app/xhtml/pages.html	(from https://jobie.dexignzone.com/mobile-app/xhtml/index.html)
09:53:57	77285/77285	---M-Z	200	added ('OK')	text/html	etag:%2212de5-5e292340e2c80-gzip%22	https://jobie.dexignzone.com/mobile-app/xhtml/ui-components.html	C:/Users/55119/Desktop/casaApp2/casaApp2/jobie.dexignzone.com/mobile-app/xhtml/ui-components.html	(from https://jobie.dexignzone.com/mobile-app/xhtml/index.html)
09:53:58	30986/30986	---M-Z	200	added ('OK')	text/html	etag:%22790a-5e29233388d00-gzip%22	https://jobie.dexignzone.com/mobile-app/xhtml/notification.html	C:/Users/55119/Desktop/casaApp2/casaApp2/jobie.dexignzone.com/mobile-app/xhtml/notification.html	(from https://jobie.dexignzone.com/mobile-app/xhtml/index.html)
09:53:58	35884/35884	---M-Z	200	added ('OK')	text/html	etag:%228c2c-5e292336653c0-gzip%22	https://jobie.dexignzone.com/mobile-app/xhtml/profile.html	C:/Users/55119/Desktop/casaApp2/casaApp2/jobie.dexignzone.com/mobile-app/xhtml/profile.html	(from https://jobie.dexignzone.com/mobile-app/xhtml/index.html)
09:53:58	42566/42566	---M-Z	200	added ('OK')	text/html	etag:%22a646-5e29233388d00-gzip%22	https://jobie.dexignzone.com/mobile-app/xhtml/messages.html	C:/Users/55119/Desktop/casaApp2/casaApp2/jobie.dexignzone.com/mobile-app/xhtml/messages.html	(from https://jobie.dexignzone.com/mobile-app/xhtml/index.html)
09:53:59	10205/10205	---M-Z	200	added ('OK')	text/html	etag:%2227dd-5e2923347cf40-gzip%22	https://jobie.dexignzone.com/mobile-app/xhtml/onboading.html	C:/Users/55119/Desktop/casaApp2/casaApp2/jobie.dexignzone.com/mobile-app/xhtml/onboading.html	(from https://jobie.dexignzone.com/mobile-app/xhtml/index.html)
09:53:59	37796/37796	---M-Z	200	added ('OK')	text/html	etag:%2293a4-5e2923384d840-gzip%22	https://jobie.dexignzone.com/mobile-app/xhtml/search.html	C:/Users/55119/Desktop/casaApp2/casaApp2/jobie.dexignzone.com/mobile-app/xhtml/search.html	(from https://jobie.dexignzone.com/mobile-app/xhtml/index.html)
09:53:59	10257/10257	---M--	200	added ('OK')	image/png	etag:%222811-5e292ac196000%22	https://jobie.dexignzone.com/mobile-app/xhtml/assets/images/logo/logo.png	C:/Users/55119/Desktop/casaApp2/casaApp2/jobie.dexignzone.com/mobile-app/xhtml/assets/images/logo/logo.png	(from https://jobie.dexignzone.com/mobile-app/xhtml/index.html)
09:54:00	17542/17542	---M-Z	200	added ('OK')	text/html	etag:%224486-5e29232fb8400-gzip%22	https://jobie.dexignzone.com/mobile-app/xhtml/job-detail.html	C:/Users/55119/Desktop/casaApp2/casaApp2/jobie.dexignzone.com/mobile-app/xhtml/job-detail.html	(from https://jobie.dexignzone.com/mobile-app/xhtml/index.html)
