Item;Descricao;Data Movimento;Movimento;Local;Observacao;Modelo;Serie;Etiqueta;Hora
0000000001;DECODER T21;2/13/2023;Transferencia De;06    - TVN;;;T9261E00083;1000;12:19
0000000001;DECODER T21;2/13/2023;Transferência Para;01    - ARMAZEM VILA MATILDE;;;T9261E00083;1000;12:19
0000000001;DECODER T21;2/13/2023;Transferencia De;01    - ARMAZEM VILA MATILDE;;;T9261E00083;1000;12:27
0000000001;DECODER T21;2/13/2023;Transferência Para;02    - ARMAZEM ALMIRANTE;;;T9261E00083;1000;12:27
0000000005;GABINETE DELL VOSTRO D06D;9/24/2021;Transferencia De;02    - ARMAZEM ALMIRANTE;;VOSTRO D06D;2PMP8S1;4214;10:57
0000000005;GABINETE DELL VOSTRO D06D;9/24/2021;Transferência Para;06    - TVN;;VOSTRO D06D;2PMP8S1;4214;10:57
0000000246;RECEPTOR LECTROSONICS;1/24/2023;Transferencia De;14    - CASA 55;RETIRADO PELO BIG;IFBR1A;30773;0362;15:13
0000000246;RECEPTOR LECTROSONICS;1/24/2023;Transferência Para;12    - CASA 56;;IFBR1A;30773;0362;15:13
0000000246;RECEPTOR LECTROSONICS;1/26/2023;Transferencia De;12    - CASA 56;SOLICITADO PELO SR. RAFAEL, ENVIADO VIA MOTOBOY LOGGY, A/C SR. ERICK;IFBR1A;30773;0362;14:46
0000000246;RECEPTOR LECTROSONICS;1/26/2023;Transferência Para;05    - RIOT GAMES;;IFBR1A;30773;0362;14:46
0000000255;LENTE CANON GA;1/20/2023;Transferencia De;01    - ARMAZEM VILA MATILDE;RETIRADO PELO BIG P/ CASA 54;HJ11EX4.7B IASE;00712899;0377;14:01
0000000255;LENTE CANON GA;1/20/2023;Transferência Para;10    - CASA 54;;HJ11EX4.7B IASE;00712899;0377;14:01
0000000260;LCD VIEW FINDER;1/17/2023;Transferencia De;14    - CASA 55;RETIRADO PELO SR. BIG, MONTAGEM CASA 56;HDVF-L10;0011478;1275;15:40
0000000260;LCD VIEW FINDER;1/17/2023;Transferência Para;12    - CASA 56;;HDVF-L10;0011478;1275;15:40
0000000280;TV SANSUNG 32;1/30/2023;Transferencia De;14    - CASA 55;;UN32T4300A;Y4HX31R905993P;0178;14:30
0000000280;TV SANSUNG 32;1/30/2023;Transferência Para;01    - ARMAZEM VILA MATILDE;;UN32T4300A;Y4HX31R905993P;0178;14:30
0000000288;MONITOR PTV PHILCO;1/24/2023;Transferencia De;01    - ARMAZEM VILA MATILDE;RETIRADO PELO BIG;PTV24N915A LED;9170038430t288a;0186;17:40
0000000288;MONITOR PTV PHILCO;1/24/2023;Transferência Para;12    - CASA 56;;PTV24N915A LED;9170038430t288a;0186;17:40
0000000305;PLATE SONY;1/17/2023;Transferencia De;14    - CASA 55;RETIRADO PELO SR. BIG, MONTAGEM CASA 56;VCT-14;0123088058;0413;15:45
0000000305;PLATE SONY;1/17/2023;Transferência Para;12    - CASA 56;;VCT-14;0123088058;0413;15:45
0000000365;BASE DE CAMERA 40 FUJINON;1/16/2023;Transferencia De;10    - CASA 54;ENTREGUE PELO SR. GUSTAVO (TECNICO CBOL);ALH-117C-01A;;0439;17:24
0000000365;BASE DE CAMERA 40 FUJINON;1/16/2023;Transferência Para;01    - ARMAZEM VILA MATILDE;;ALH-117C-01A;;0439;17:24
0000000366;COMANDO DE ZOOM FUJINON;1/16/2023;Transferencia De;10    - CASA 54;ENTREGUE PELO SR. GUSTAVO (TECNICO);ERD-20A-A02;G10237;0440;17:24
0000000366;COMANDO DE ZOOM FUJINON;1/16/2023;Transferência Para;01    - ARMAZEM VILA MATILDE;;ERD-20A-A02;G10237;0440;17:24
0000000367;COMANDO DE FOCO FUJINON;1/16/2023;Transferencia De;10    - CASA 54;ENTREGUE PELO SR. GUSTAVO (TECNICO);;E90309;0441;17:24
0000000367;COMANDO DE FOCO FUJINON;1/16/2023;Transferência Para;01    - ARMAZEM VILA MATILDE;;;E90309;0441;17:24
