Codigo;Descricao;Tipo;Unidade;Familia;Desc.Familia;Pos.IPI/NCM;Descr.Espec.;Materia Pri.;IPI de Pauta;Observacao;Serie
22/02/11;NAO USAR;PA;PC;0001;SEM CLASSIFICACAO;0   .  .;;;;0;0
/;NAO USAR;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000001;MOTOR BOSCH MH F 000 MMO 005;PA;PC;0001;SEM CLASSIFICACAO;8501.32.10;;;;teste;
000000000000003;ROLAMENTO;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000004;PORCA FUSO LAM. RNCT1405A2.5.;MP;PC;0001;SEM CLASSIFICACAO;8483.90.00;;;;.;.
000000000000005;FUSO ESFERA LAMIN. RS1405A10;MP;PC;0001;SEM CLASSIFICACAO;8483.10.90;;;;;
000000000000006;PASTILHA DE FREIO;PA;PC;0001;SEM CLASSIFICACAO;9999.99.98;;;;;
000000000000007;ABAFADOR INTER.UNO FIRE 2006;PI;PC;0001;SEM CLASSIFICACAO;8708.92.00;;;;;
000000000000008;SILENCIADOR TRAS. KOMBI 92/96;PI;PC;0001;SEM CLASSIFICACAO;8708.92.00;;;;;
000000000000009;ROLAMENTO 7900CTYSULP4;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000010;PARAFUSO ALLEN CILINDR M8X70;PI;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000011;ESQUADRO STAN METAL 12;MC;PC;0001;SEM CLASSIFICACAO;9017.20.00;;;;;
000000000000012;FITA AUTO ADESIVA 5MMX25MMX10;MP;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000013;FITA DUPLA FACE 20M;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000014;MASSA POLIESTER LIGHT MAXI RUB;MP;G;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000015;KPO MAXI RUBBER C/ CATALISADOR;MP;UN;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000016;ESPATULA N6 ROLOFLEX;MC;UN;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000017;MANIPULADOR 4 DIRECAO XD5-PA24;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;almox 04 19/0/4024(v.c.32 kilka;
000000000000018;CABO CONTROLE 20 X 0.75MM 500V;MP;MT;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000019;AOBAOBAOBAOBAOBAOBAOBAOBAOBAOB;PA;PC;0001;SEM CLASSIFICACAO;1701.11.00;;;;AOBAOBAOBAOBAOBAOBAOBAOBAOBAOBAOBAOBAOBA;AOBAOBAOBAOBAOBAOBAOBAOBAOBAOB
000000000000020;COPO P/ CAFE 80ML CX2500;MC;CX;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000021;PAPEL HIGIENICO ROLAO 8 X3000;MC;CX;0001;SEM CLASSIFICACAO;4818.10.00;;;;;
000000000000022;PINCEL CD/DVD PERM. PRETO PILO;MC;PC;0001;SEM CLASSIFICACAO;9608.20.00;;;;;
000000000000023;COPO 180ML CX 2500;MC;CX;0001;SEM CLASSIFICACAO;3924.10.00;;;;;
000000000000024;CLORO HIPOCL DE SODIO;MC;GL;0001;SEM CLASSIFICACAO;3206.41.00;;;;;
000000000000025;ENCODER XCODER VIACAST;MC;PC;0001;SEM CLASSIFICACAO;8529.90.19;;;;PERTENCE A INTERPLAY;0220
000000000000026;ENCODER XCODER VIACAST;MC;GL;0001;SEM CLASSIFICACAO;8529.90.19;;;;NAO E NOSSO INTERPLAY;2021
000000000000027;DESINFETANTE MIRAX;MC;GL;0001;SEM CLASSIFICACAO;3402.90.90;;;;;
000000000000028;PAPEL SULFITE 210X297 A4;MC;PT;0001;SEM CLASSIFICACAO;4802.56.10;;;;;
000000000000029;SABAO EM PO ACE;MC;PC;0001;SEM CLASSIFICACAO;3402.20.00;;;;;
000000000000030;ALCOOL 92.8 INPM 96GL ABSOLUTO;MC;UN;0001;SEM CLASSIFICACAO;.  .;;;;;
