Descr.Modelo;Num.Etiqueta;Dt.Aquisicao;Cod. do Item;Item do Bem;Quantidade;Incluido Por;Modelo;Serie
DECODER T21;1000;16/09/2021;0000000001;0001;1,000;;;T9261E00083
ENCODER T21;1199;16/09/2021;0000000002;0001;1,000;;;9261D00429
ENCODER T21;1200;16/09/2021;0000000003;0001;1,000;;;9261D00426
DECODER T21;1201;16/09/2021;0000000004;0001;1,000;;;T9261E00015
GABINETE DELL VOSTRO D06D;4214;22/09/2021;0000000005;0001;1,000;;VOSTRO D06D;2PMP8S1
MODULADOR NEWTEC M6100;4201;06/10/2021;0000000006;0001;1,000;Clebson;M6100;20001560
TRANSMISSOR LECTROSONICS;0001;17/01/2022;0000000008;0001;1,000;;IFBT4L;2718
TRANSMISSOR;0002;17/01/2022;0000000009;0001;1,000;;;4543
TRANSMISSOR LECTROSONICS;0003;17/01/2022;0000000011;0001;1,000;Wilson;IFBT4L;         7981
RECEPTOR LECTROSONICS;0004;17/01/2022;0000000012;0001;1,000;Wilson;IFBR1a;16494
RECEPTOR LECTROSONICS;5;17/01/2022;0000000013;0001;1,000;Wilson;IFBR1a;         16360
RECEPTOR LECTROSONICS;6;17/01/2022;0000000014;0001;1,000;Wilson; IFBR1a;       31013
RECEPTOR LECTROSONICS;7;17/01/2022;0000000015;0001;1,000;Wilson;         IFBR1a;         21285
RECEPTOR LECTROSONICS;8;17/01/2022;0000000016;0001;1,000;Wilson;     IFBR1a;                    17876
RECEPTOR LECTROSONICS;9;17/01/2022;0000000017;0001;1,000;Wilson;    IFBR1a;    17875
TRANSMISSOR LECTROSONICS;10;17/01/2022;0000000018;0001;1,000;Wilson;     IFBT4M;         7969
TRANSMISSOR LECTROSONICS;11;17/01/2022;0000000019;0001;1,000;Wilson;       IFBT4;555
RECEPTOR LECTROSONICS;12;17/01/2022;0000000020;0001;1,000;Wilson;        IFBR1a;  31051
RECEPTOR LECTROSONICS;13;17/01/2022;0000000021;0001;1,000;Wilson;  IFBR1a;     30768
MASTERHUB MASTER CONTROL PRO;0015;19/01/2022;0000000023;0001;1,000;;;6322661
MIC DE MAO SENNHEISER 845S;0016;19/01/2022;0000000024;0001;1,000;;;
MIC DE MAO SENNHEISER  845S;0017;19/01/2022;0000000025;0001;1,000;;;
MIC DE MAO SENNHEISER  845S;0018;19/01/2022;0000000026;0001;1,000;;;
MIC DE MAO SENNHEISER  845S;0019;19/01/2022;0000000027;0001;1,000;;;
MIC DE MAO SENNHEISER  845S;0020;19/01/2022;0000000028;0001;1,000;;;
MIC DE MAO SENNHEISER  845S;0021;19/01/2022;0000000029;0001;1,000;;;
MIC DE MAO SENNHEISER  845S;0022;19/01/2022;0000000030;0001;1,000;;;
MIC DE MAO SENNHEISER 835S;1258;19/01/2022;0000000031;0001;1,000;;;
MIC DE MAO SENNHEISER 835S;1255;19/01/2022;0000000032;0001;1,000;;;
MIC DE MAO SENNHEISER 825S;0023;19/01/2022;0000000033;0001;1,000;;;
SDI TO HDMI;0024;19/01/2022;0000000034;0001;1,000;;;7144476
SDI TO HDMI;0025;19/01/2022;0000000035;0001;1,000;;;7174393
SDI TO HDMI;0026;19/01/2022;0000000036;0001;1,000;;;4458807
OPTICAL FIBER 12G;0027;19/01/2022;0000000037;0001;1,000;;;7139189
OPTICAL FIBER 12G;1215;19/01/2022;0000000038;0001;1,000;;;7139109
OPTICAL FIBER 12G;0028;19/01/2022;0000000039;0001;1,000;;;7139190
SDI TO HDMI 4K;0029;19/01/2022;0000000040;0001;1,000;;;
CONVERSOR DE MIDIA FAST MONOMODO WDM A 20 KM;0030;19/01/2022;0000000041;0001;1,000;;;
CONVERSOR DE MIDIA FAST MONOMODO WDM A 20 KM;0031;19/01/2022;0000000042;0001;1,000;;;
HEADPHONES ROLLS;0032;20/01/2022;0000000043;0001;1,000;;;
HEADPHONES ROLLS;0033;20/01/2022;0000000044;0001;1,000;;;
HEADPHONES ROLLS;0034;20/01/2022;0000000045;0001;1,000;;;
FONTE CONVERSORES;0037;20/01/2022;0000000050;0001;1,000;;;
FONTE CONVERSORES;0038;20/01/2022;0000000051;0001;1,000;;;
FONTE CONVERSORES;0039;20/01/2022;0000000052;0001;1,000;;;
FONTE CONVERSORES;0040;20/01/2022;0000000053;0001;1,000;;;
FONTE CONVERSORES;0041;20/01/2022;0000000054;0001;1,000;;;
FONTE CONVERSORES;0042;20/01/2022;0000000055;0001;1,000;;;
FONTE CONVERSORES;0043;20/01/2022;0000000056;0001;1,000;;;
FONTE CONVERSORES;0044;20/01/2022;0000000057;0001;1,000;;;5826777
FONTE CONVERSORES;0045;20/01/2022;0000000058;0001;1,000;;;
FONTE CONVERSORES;0046;20/01/2022;0000000059;0001;1,000;;;
FONTE CONVERSORES;0047;20/01/2022;0000000060;0001;1,000;;;
FONTE CONVERSORES;0048;20/01/2022;0000000061;0001;1,000;;;
FONTE CONVERSORES;0049;20/01/2022;0000000062;0001;1,000;;;
SDI TO HDMI;0054;20/01/2022;0000000063;0001;1,000;;;5826777
SDI TO HDMI;0055;20/01/2022;0000000064;0001;1,000;;;5826770
OPTICAL FIBER 12G;0053;20/01/2022;0000000065;0001;1,000;;;
OPTICAL FIBER 12G;0052;20/01/2022;0000000066;0001;1,000;;;
OPTICAL FIBER 12G;0051;20/01/2022;0000000067;0001;1,000;;;
TESTADOR DE CABOS CT100 BEHRINGER;0050;20/01/2022;0000000068;0001;1,000;;CT100;S1510032130
SMARTVIEWDUO;0077;20/01/2022;0000000069;0001;1,000;;;
FONTE CONVERSORES;0078;20/01/2022;0000000070;0001;1,000;;;
SDI TO HDMI;0056;20/01/2022;0000000071;0001;1,000;;;
SDI TO HDMI;0057;20/01/2022;0000000072;0001;1,000;;;
SDI TO HDMI;0059;20/01/2022;0000000073;0001;1,000;;;
SDI TO HDMI;0060;20/01/2022;0000000074;0001;1,000;;;
SDI TO HDMI;0061;20/01/2022;0000000075;0001;1,000;;;5689848
SDI TO HDMI;0062;20/01/2022;0000000076;0001;1,000;;;7174466
SDI TO HDMI;58;20/01/2022;0000000077;0001;1,000;;;5692753
SDI TO HDMI;57;20/01/2022;0000000078;0001;1,000;;;
SDI TO HDMI;63;20/01/2022;0000000079;0001;1,000;;;5581246
SDI TO HDMI;59;20/01/2022;0000000080;0001;1,000;;;5583594
SDI TO HDMI;54;20/01/2022;0000000081;0001;1,000;;;5826777
HEADPHONES ROLLS;0079;20/01/2022;0000000082;0001;1,000;;;
RECEPTOR  M2R;0080;20/01/2022;0000000084;0001;1,000;;;6401824
RECEPTOR  M2R;0103;20/01/2022;0000000085;0001;1,000;;;6401824
RECEPTOR  M2R;0104;20/01/2022;0000000086;0001;1,000;;;6400762
RECEPTOR  M2R;0105;20/01/2022;0000000087;0001;1,000;;;6401823
MIC DE MAO SENNHEISER  845S;0106;20/01/2022;0000000088;0001;1,000;;;
MIC DE MAO SENNHEISER  845S;0108;20/01/2022;0000000089;0001;1,000;;;
MIC DE MAO SENNHEISER  845S;0109;20/01/2022;0000000090;0001;1,000;;;
MIC DE MAO SENNHEISER  845S;0110;20/01/2022;0000000091;0001;1,000;;;
