Etiqueta;Bloqueado?;Local;Emuso;DataVinculo;Cod.Item
0001;Não;01;Sim;17/01/2022;0000000008
1652;Não;01;Sim;13/01/2023;0000001496
4099;Não;17;Sim;15/06/2022;0000000913
4571;Não;02;Sim;05/08/2022;0000001045
4622;Não;18;Sim;17/08/2022;0000001087
4870;Não;01;Sim;19/07/2022;0000001005
4879;Não;01;Sim;05/08/2022;0000001042
4885;Não;01;Sim;05/08/2022;0000001039
4887;Não;01;Sim;05/08/2022;0000001037
4888;Não;01;Sim;04/08/2022;0000001034
4895;Não;02;Sim;05/08/2022;0000001056
4940;Não;02;Sim;18/08/2022;0000001112
7038;Não;02;Sim;18/08/2022;0000001110
7040;Não;02;Sim;18/08/2022;0000001108
0002;Não;01;Sim;17/01/2022;0000000009
0003;Não;01;Sim;17/01/2022;0000000011
0004;Não;01;Sim;13/10/2022;0000001240
0009;Não;01;Sim;24/01/2023;0000001567
0010;Não;01;Sim;24/01/2023;0000001566
0015;Não;01;Sim;19/01/2022;0000000023
0016;Não;01;Sim;19/01/2022;0000000024
0017;Não;10;Sim;19/01/2022;0000000025
0018;Não;10;Sim;19/01/2022;0000000026
001857;Não;10;Nao;//;
0019;Não;10;Sim;19/01/2022;0000000027
0020;Não;10;Sim;19/01/2022;0000000028
0021;Não;10;Sim;19/01/2022;0000000029
0022;Não;10;Sim;19/01/2022;0000000030
0023;Não;10;Sim;19/01/2022;0000000033
0024;Não;10;Sim;19/01/2022;0000000034
0025;Não;10;Sim;19/01/2022;0000000035
0026;Não;10;Sim;19/01/2022;0000000036
0027;Não;10;Sim;19/01/2022;0000000037
0028;Não;10;Sim;19/01/2022;0000000039
0029;Não;10;Sim;19/01/2022;0000000040
0030;Não;10;Sim;19/01/2022;0000000041
0031;Não;10;Sim;19/01/2022;0000000042
0032;Não;10;Sim;20/01/2022;0000000043
0033;Não;10;Sim;20/01/2022;0000000044
0034;Não;10;Sim;20/01/2022;0000000045
0035;Não;10;Sim;20/01/2022;0000000048
0036;Não;10;Sim;20/01/2022;0000000049
0037;Não;10;Sim;20/01/2022;0000000050
0038;Não;10;Sim;20/01/2022;0000000051
0039;Não;10;Sim;20/01/2022;0000000052
0040;Não;10;Sim;20/01/2022;0000000053
0041;Não;10;Sim;20/01/2022;0000000054
0042;Não;10;Sim;20/01/2022;0000000055
0043;Não;10;Sim;20/01/2022;0000000056
0044;Não;10;Sim;20/01/2022;0000000057
0045;Não;10;Sim;20/01/2022;0000000058
0046;Não;10;Sim;20/01/2022;0000000059
0047;Não;10;Sim;20/01/2022;0000000060
0048;Não;10;Sim;20/01/2022;0000000061
0049;Não;10;Sim;20/01/2022;0000000062
0050;Não;10;Sim;20/01/2022;0000000068
0051;Não;10;Sim;20/01/2022;0000000067
0052;Não;10;Sim;20/01/2022;0000000066
0053;Não;10;Sim;20/01/2022;0000000065
0054;Não;10;Sim;20/01/2022;0000000063
0055;Não;10;Sim;20/01/2022;0000000064
0056;Não;10;Sim;20/01/2022;0000000071
0057;Não;10;Sim;20/01/2022;0000000072
0059;Não;10;Sim;20/01/2022;0000000073
005959;Não;01;Sim;17/10/2022;0000001280
0060;Não;10;Sim;20/01/2022;0000000074
0061;Não;10;Sim;20/01/2022;0000000075
0062;Não;10;Sim;20/01/2022;0000000076
0063;Não;10;Sim;20/01/2022;0000000114
0064;Não;10;Nao;//;
0065;Não;10;Nao;//;
0066;Não;10;Nao;//;
0067;Não;10;Sim;20/01/2022;0000000118
0068;Não;10;Nao;//;
0069;Não;10;Nao;//;
0070;Não;10;Nao;//;
0071;Não;10;Nao;//;
0072;Não;10;Nao;//;
0073;Não;10;Nao;//;
0074;Não;10;Nao;//;
0075;Não;10;Nao;//;
0076;Não;10;Nao;//;
0077;Não;10;Sim;20/01/2022;0000000069
0078;Não;10;Sim;20/01/2022;0000000070
Etiqueta;Bloqueado?;Local;Emuso;DataVinculo;Cod.Item
0079;Não;10;Sim;20/01/2022;0000000082
0080;Não;10;Sim;20/01/2022;0000000084
0081;Não;10;Sim;20/01/2022;0000000099
0082;Não;10;Sim;20/01/2022;0000000100
0083;Não;10;Sim;20/01/2022;0000000101
0084;Não;10;Sim;20/01/2022;0000000102
0085;Não;10;Sim;20/01/2022;0000000103
0086;Não;10;Sim;20/01/2022;0000000107
0087;Não;10;Sim;20/01/2022;0000000106
0088;Não;10;Sim;20/01/2022;0000000108
0089;Não;10;Nao;//;
0090;Não;10;Sim;20/01/2022;0000000128
0091;Não;10;Nao;//;
0092;Não;10;Nao;//;
0093;Não;10;Nao;//;
0094;Não;10;Nao;//;
0095;Não;10;Nao;//;
0096;Não;10;Nao;//;
0097;Não;10;Nao;//;
0098;Não;10;Nao;//;
0099;Não;10;Nao;//;
0103;Não;13;Sim;20/01/2022;0000000085
0104;Não;13;Sim;20/01/2022;0000000086
0105;Não;13;Sim;20/01/2022;0000000087
0106;Não;12;Sim;20/01/2022;0000000088
0107;Não;13;Sim;20/01/2022;0000000096
0108;Não;12;Sim;20/01/2022;0000000089
0109;Não;12;Sim;20/01/2022;0000000090
0110;Não;12;Sim;20/01/2022;0000000091
0111;Não;12;Sim;20/01/2022;0000000092
0112;Não;12;Sim;20/01/2022;0000000093
0113;Não;12;Sim;20/01/2022;0000000094
01137;Não;05;Sim;14/06/2022;0000000873
01138;Não;05;Sim;14/06/2022;0000000893
01139;Não;05;Sim;14/06/2022;0000000871
0114;Não;12;Sim;20/01/2022;0000000095
01143;Não;05;Sim;14/06/2022;0000000892
01148;Não;05;Sim;14/06/2022;0000000896
01149;Não;05;Sim;14/06/2022;0000000891
0115;Não;12;Sim;20/01/2022;0000000097
01153;Não;05;Sim;14/06/2022;0000000870
01160;Não;05;Sim;14/06/2022;0000000900
01161;Não;05;Sim;14/06/2022;0000000890
01162;Não;05;Sim;14/06/2022;0000000903
01164;Não;05;Sim;14/06/2022;0000000869
01165;Não;05;Sim;14/06/2022;0000000889
01171;Não;05;Sim;14/06/2022;0000000902
01172;Não;05;Sim;14/06/2022;0000000895
01175;Não;05;Sim;14/06/2022;0000000888
01178;Não;05;Nao;//;
01185;Não;05;Sim;14/06/2022;0000000865
01186;Não;05;Sim;14/06/2022;0000000887
01189;Não;05;Sim;14/06/2022;0000000901
01190;Não;05;Sim;14/06/2022;0000000886
01191;Não;05;Sim;14/06/2022;0000000864
01193;Não;05;Sim;14/06/2022;0000000863
01197;Não;05;Sim;14/06/2022;0000000884
01198;Não;05;Nao;//;
01199;Não;05;Sim;14/06/2022;0000000861
01200;Não;05;Sim;14/06/2022;0000000883
01201;Não;05;Sim;14/06/2022;0000000882
01202;Não;05;Sim;14/06/2022;0000000881
01203;Não;05;Sim;14/06/2022;0000000880
01204;Não;05;Sim;14/06/2022;0000000874
01205;Não;05;Sim;14/06/2022;0000000879
01206;Não;05;Sim;14/06/2022;0000000877
01207;Não;05;Nao;//;
01208;Não;05;Sim;14/06/2022;0000000876
01209;Não;05;Sim;14/06/2022;0000000878
01210;Não;05;Sim;14/06/2022;0000000875
01211;Não;05;Nao;//;
01212;Não;05;Nao;//;
0123;Não;01;Sim;23/01/2023;0000001562
0124;Não;01;Sim;21/01/2022;0000000134
0125;Não;01;Sim;21/01/2022;0000000135
0126;Não;01;Sim;21/01/2022;0000000136
0127;Não;01;Sim;21/01/2022;0000000137
0128;Não;01;Sim;21/01/2022;0000000138
0129;Não;01;Sim;21/01/2022;0000000139
0130;Não;01;Sim;21/01/2022;0000000140
0131;Não;01;Sim;21/01/2022;0000000141
0132;Não;01;Sim;21/01/2022;0000000142
0133;Não;01;Sim;21/01/2022;0000000149
0134;Não;01;Sim;21/01/2022;0000000148
0135;Não;01;Sim;21/01/2022;0000000143
Etiqueta;Bloqueado?;Local;Emuso;DataVinculo;Cod.Item
0136;Não;01;Sim;21/01/2022;0000000144
0137;Não;01;Sim;21/01/2022;0000000145
0138;Não;01;Sim;21/01/2022;0000000146
0139;Não;01;Sim;21/01/2022;0000000147
0140;Não;01;Sim;21/01/2022;0000000150
0141;Não;01;Sim;21/01/2022;0000000151
0142;Não;01;Sim;21/01/2022;0000000152
0143;Não;01;Sim;21/01/2022;0000000153
0144;Não;01;Sim;21/01/2022;0000000154
0145;Não;01;Sim;21/01/2022;0000000155
0146;Não;01;Sim;21/01/2022;0000000156
0147;Não;01;Sim;21/01/2022;0000000157
0148;Não;01;Sim;21/01/2022;0000000158
0149;Não;01;Sim;24/01/2022;0000000160
0150;Não;01;Sim;24/01/2022;0000000161
0158;Não;01;Sim;09/06/2022;0000000672
0165;Não;01;Sim;26/10/2022;0000001347
0166;Não;01;Sim;24/11/2022;0000001459
0167;Não;01;Sim;13/01/2023;0000001502
0168;Não;01;Sim;28/06/2022;0000000972
0171;Não;10;Sim;09/06/2022;0000000701
0173;Não;10;Sim;08/11/2022;0000001452
0174;Não;14;Sim;08/11/2022;0000001452
0175;Não;14;Sim;07/02/2022;0000000277
0176;Não;14;Sim;07/02/2022;0000000278
0177;Não;01;Sim;07/02/2022;0000000279
0178;Não;14;Sim;07/02/2022;0000000280
0179;Não;01;Sim;07/02/2022;0000000281
0180;Não;01;Sim;07/02/2022;0000000282
0184;Não;14;Sim;07/02/2022;0000000283
0185;Não;12;Sim;07/02/2022;0000000289
0186;Não;12;Sim;07/02/2022;0000000288
0187;Não;12;Sim;07/02/2022;0000000287
0188;Não;01;Sim;07/02/2022;0000000286
0189;Não;01;Sim;07/02/2022;0000000285
0190;Não;01;Sim;07/02/2022;0000000284
0191;Não;01;Sim;24/01/2022;0000000178
0192;Não;01;Sim;07/02/2022;0000000276
0193;Não;01;Sim;25/01/2022;0000000186
0194;Não;01;Sim;25/01/2022;0000000187
0195;Não;01;Sim;25/01/2022;0000000188
0196;Não;01;Sim;25/01/2022;0000000189
0197;Não;01;Sim;25/01/2022;0000000190
0198;Não;01;Sim;25/01/2022;0000000191
0199;Não;01;Sim;25/01/2022;0000000192
0200;Não;01;Sim;25/01/2022;0000000193
0201;Não;01;Sim;25/01/2022;0000000194
0202;Não;01;Sim;25/01/2022;0000000196
0203;Não;01;Sim;25/01/2022;0000000195
0204;Não;01;Sim;25/01/2022;0000000197
0205;Não;01;Sim;25/01/2022;0000000198
0206;Não;04;Sim;25/01/2022;0000000199
0207;Não;01;Sim;25/01/2022;0000000200
0208;Não;01;Sim;25/01/2022;0000000201
0209;Não;01;Sim;25/01/2022;0000000202
0210;Não;01;Sim;07/02/2022;0000000290
0211;Não;01;Sim;07/02/2022;0000000291
0212;Não;01;Sim;20/06/2022;0000000957
0213;Não;01;Sim;20/06/2022;0000000958
0214;Não;01;Sim;07/02/2022;0000000294
0215;Não;01;Sim;07/02/2022;0000000295
0216;Não;01;Sim;07/02/2022;0000000296
0217;Não;14;Sim;07/02/2022;0000000297
0218;Não;14;Sim;07/02/2022;0000000298
0219;Não;14;Sim;08/02/2022;0000000326
0220;Não;01;Sim;08/02/2022;0000000325
0221;Não;10;Sim;08/02/2022;0000000324
0222;Não;10;Sim;08/02/2022;0000000323
0223;Não;10;Sim;08/02/2022;0000000327
0224;Não;10;Sim;09/06/2022;0000000708
0225;Não;01;Sim;08/02/2022;0000000329
0226;Não;10;Sim;08/02/2022;0000000330
0227;Não;10;Sim;08/02/2022;0000000322
0228;Não;10;Sim;08/02/2022;0000000320
0229;Não;10;Sim;08/02/2022;0000000321
0230;Não;10;Sim;08/02/2022;0000000319
0231;Não;01;Sim;08/02/2022;0000000318
0232;Não;01;Sim;07/02/2022;0000000300
0233;Não;01;Sim;08/02/2022;0000000317
0234;Não;10;Sim;07/02/2022;0000000299
0235;Não;12;Sim;18/01/2023;0000001518
0236;Não;10;Sim;17/06/2022;0000000942
0237;Não;01;Sim;07/06/2022;0000000634
0238;Não;14;Sim;10/06/2022;0000000760
0239;Não;01;Sim;04/02/2022;0000000261
Etiqueta;Bloqueado?;Local;Emuso;DataVinculo;Cod.Item
0240;Não;14;Sim;08/02/2022;0000000331
0241;Não;14;Sim;08/02/2022;0000000332
0242;Não;10;Sim;09/02/2022;0000000337
0243;Não;10;Sim;09/02/2022;0000000338
0244;Não;10;Sim;09/02/2022;0000000339
0245;Não;10;Sim;09/02/2022;0000000340
0246;Não;10;Sim;09/02/2022;0000000341
0247;Não;10;Sim;09/02/2022;0000000342
0248;Não;10;Sim;09/02/2022;0000000343
0249;Não;10;Sim;09/02/2022;0000000344
0250;Não;10;Sim;09/02/2022;0000000345
0251;Não;10;Sim;09/02/2022;0000000346
0252;Não;10;Sim;09/02/2022;0000000347
0253;Não;10;Sim;15/02/2022;0000000441
0254;Não;10;Sim;15/02/2022;0000000442
0255;Não;10;Sim;15/02/2022;0000000443
0256;Não;10;Sim;15/02/2022;0000000444
0257;Não;10;Sim;15/02/2022;0000000445
0258;Não;10;Sim;15/02/2022;0000000448
0259;Não;10;Sim;15/02/2022;0000000448
0260;Não;10;Sim;15/02/2022;0000000447
0261;Não;10;Sim;15/02/2022;0000000449
0262;Não;10;Sim;15/02/2022;0000000450
0263;Não;10;Sim;15/02/2022;0000000451
0264;Não;10;Sim;15/02/2022;0000000452
0265;Não;10;Sim;15/02/2022;0000000455
0266;Não;10;Sim;15/02/2022;0000000453
0267;Não;10;Sim;15/02/2022;0000000454
0268;Não;10;Sim;15/02/2022;0000000456
0269;Não;10;Sim;15/02/2022;0000000457
0270;Não;10;Sim;15/02/2022;0000000458
0271;Não;10;Sim;15/02/2022;0000000459
0272;Não;10;Sim;15/02/2022;0000000460
0273;Não;14;Sim;15/02/2022;0000000465
0274;Não;14;Sim;15/02/2022;0000000461
0275;Não;14;Sim;15/02/2022;0000000462
0276;Não;14;Sim;15/02/2022;0000000463
0277;Não;14;Sim;15/02/2022;0000000464
0278;Não;14;Sim;15/02/2022;0000000466
0279;Não;14;Sim;15/02/2022;0000000467
0280;Não;14;Sim;15/02/2022;0000000468
0281;Não;14;Sim;15/02/2022;0000000469
0282;Não;14;Sim;15/02/2022;0000000470
0283;Não;01;Sim;01/02/2022;0000000218
0284;Não;01;Sim;01/02/2022;0000000219
0285;Não;01;Sim;01/02/2022;0000000220
0286;Não;01;Sim;01/02/2022;0000000221
0287;Não;01;Sim;01/02/2022;0000000223
0288;Não;01;Sim;01/02/2022;0000000224
0289;Não;01;Sim;01/02/2022;0000000225
0290;Não;01;Sim;01/02/2022;0000000226
0291;Não;01;Sim;01/02/2022;0000000227
0292;Não;01;Sim;01/02/2022;0000000228
0293;Não;01;Sim;01/02/2022;0000000230
0294;Não;01;Sim;01/02/2022;0000000231
0295;Não;01;Sim;14/06/2022;0000000897
0296;Não;01;Sim;02/03/2022;0000000571
0297;Não;01;Nao;//;
0298;Não;01;Nao;//;
0299;Não;01;Nao;//;
0300;Não;01;Nao;//;
0303;Não;05;Sim;08/02/2022;0000000310
0304;Não;05;Sim;08/02/2022;0000000306
0305;Não;05;Sim;08/02/2022;0000000309
0306;Não;05;Sim;08/02/2022;0000000307
0307;Não;05;Sim;08/02/2022;0000000313
0308;Não;05;Sim;08/02/2022;0000000314
0309;Não;05;Sim;08/02/2022;0000000315
0310;Não;05;Sim;08/02/2022;0000000316
0311;Não;05;Sim;08/02/2022;0000000308
0312;Não;12;Sim;15/02/2022;0000000471
0313;Não;12;Sim;15/02/2022;0000000472
0314;Não;12;Sim;15/02/2022;0000000473
0315;Não;12;Sim;15/02/2022;0000000475
0316;Não;12;Sim;15/02/2022;0000000476
0317;Não;12;Sim;15/02/2022;0000000474
0319;Não;05;Sim;15/02/2022;0000000477
0320;Não;05;Sim;08/02/2022;0000000312
0322;Não;10;Sim;14/06/2022;0000000867
0323;Não;05;Sim;14/06/2022;0000000866
0324;Não;12;Sim;14/06/2022;0000000868
0326;Não;05;Sim;14/06/2022;0000000894
0328;Não;05;Sim;14/06/2022;0000000885
0340;Não;01;Sim;26/10/2022;0000001344
0345;Não;01;Nao;//;
Etiqueta;Bloqueado?;Local;Emuso;DataVinculo;Cod.Item
0346;Não;01;Nao;//;
0347;Não;01;Nao;//;
0348;Não;01;Sim;17/06/2022;0000000955
0349;Não;01;Nao;//;
0350;Não;01;Nao;//;
0351;Não;01;Nao;//;
0352;Não;01;Sim;03/02/2022;0000000233
0353;Não;01;Sim;03/02/2022;0000000234
0354;Não;01;Sim;03/02/2022;0000000235
0355;Não;01;Sim;03/02/2022;0000000236
0356;Não;01;Sim;04/02/2022;0000000240
0357;Não;01;Sim;04/02/2022;0000000239
0358;Não;01;Sim;04/02/2022;0000000238
0359;Não;01;Sim;04/02/2022;0000000237
0360;Não;01;Sim;04/02/2022;0000000241
0361;Não;01;Sim;04/02/2022;0000000242
0362;Não;01;Sim;04/02/2022;0000000246
0363;Não;01;Sim;04/02/2022;0000000248
0364;Não;01;Sim;04/02/2022;0000000249
0365;Não;01;Sim;20/06/2022;0000000962
0366;Não;01;Sim;04/02/2022;0000000252
0367;Não;01;Sim;10/06/2022;0000000761
0368;Não;01;Sim;10/06/2022;0000000762
0369;Não;01;Sim;10/06/2022;0000000763
0370;Não;01;Nao;//;
0371;Não;01;Nao;//;
0372;Não;01;Nao;//;
0373;Não;01;Nao;//;
0375;Não;01;Sim;04/02/2022;0000000253
0376;Não;01;Sim;04/02/2022;0000000254
0377;Não;01;Sim;04/02/2022;0000000255
0378;Não;01;Sim;04/02/2022;0000000256
0379;Não;01;Sim;04/02/2022;0000000257
0380;Não;01;Sim;04/02/2022;0000000258
0381;Não;01;Sim;09/06/2022;0000000721
0382;Não;01;Sim;09/06/2022;0000000745
0383;Não;01;Nao;//;
0384;Não;01;Nao;//;
0389;Não;05;Sim;14/06/2022;0000000898
0390;Não;14;Sim;08/02/2022;0000000334
0391;Não;14;Sim;08/02/2022;0000000333
0392;Não;01;Sim;07/02/2022;0000000267
0393;Não;14;Sim;07/02/2022;0000000266
0394;Não;01;Sim;07/02/2022;0000000268
0395;Não;01;Sim;07/02/2022;0000000269
0396;Não;01;Sim;07/02/2022;0000000270
0397;Não;01;Sim;07/02/2022;0000000271
0398;Não;01;Sim;07/02/2022;0000000272
0399;Não;01;Sim;07/02/2022;0000000273
0400;Não;01;Sim;07/02/2022;0000000274
0401;Não;01;Sim;07/02/2022;0000000275
0404;Não;01;Nao;//;
0409;Não;01;Nao;//;
0410;Não;01;Nao;//;
0411;Não;01;Sim;08/02/2022;0000000303
0412;Não;01;Sim;08/02/2022;0000000304
0413;Não;01;Sim;08/02/2022;0000000305
0416;Não;01;Sim;15/02/2022;0000000496
0417;Não;01;Sim;15/02/2022;0000000497
0418;Não;01;Sim;15/02/2022;0000000498
0419;Não;01;Sim;15/02/2022;0000000499
0420;Não;01;Sim;15/02/2022;0000000500
0421;Não;01;Sim;15/02/2022;0000000501
0423;Não;01;Sim;15/02/2022;0000000502
0424;Não;01;Sim;15/02/2022;0000000503
0425;Não;14;Sim;15/02/2022;0000000504
0426;Não;14;Sim;15/02/2022;0000000505
0427;Não;01;Sim;10/02/2022;0000000348
0428;Não;01;Sim;10/02/2022;0000000349
0429;Não;01;Sim;10/02/2022;0000000350
0430;Não;01;Sim;10/02/2022;0000000353
0431;Não;01;Sim;10/02/2022;0000000355
0432;Não;01;Sim;10/02/2022;0000000356
0433;Não;01;Sim;10/02/2022;0000000357
0434;Não;01;Sim;10/02/2022;0000000358
0435;Não;01;Sim;10/02/2022;0000000359
0436;Não;01;Sim;10/02/2022;0000000360
0437;Não;01;Sim;10/02/2022;0000000362
0438;Não;01;Sim;10/02/2022;0000000363
0439;Não;01;Sim;10/02/2022;0000000365
0440;Não;01;Sim;10/02/2022;0000000366
0441;Não;01;Sim;10/02/2022;0000000367
0442;Não;01;Sim;10/02/2022;0000000368
0443;Não;01;Sim;10/02/2022;0000000369
0444;Não;01;Sim;10/02/2022;0000000370
Etiqueta;Bloqueado?;Local;Emuso;DataVinculo;Cod.Item
0445;Não;01;Sim;10/02/2022;0000000371
0446;Não;01;Sim;10/02/2022;0000000372
0447;Não;01;Sim;10/02/2022;0000000373
0448;Não;01;Sim;10/02/2022;0000000376
0449;Não;01;Sim;10/02/2022;0000000377
0450;Não;01;Sim;10/02/2022;0000000378
0451;Não;01;Sim;10/02/2022;0000000379
0452;Não;01;Sim;10/02/2022;0000000380
0453;Não;01;Sim;10/02/2022;0000000381
0454;Não;01;Sim;10/02/2022;0000000382
0455;Não;01;Sim;10/02/2022;0000000383
0456;Não;01;Sim;10/02/2022;0000000384
0457;Não;01;Sim;10/02/2022;0000000385
0458;Não;01;Sim;10/02/2022;0000000386
0459;Não;01;Sim;10/02/2022;0000000387
0460;Não;01;Sim;10/02/2022;0000000388
0461;Não;01;Sim;10/02/2022;0000000389
0462;Não;01;Sim;10/02/2022;0000000390
0463;Não;01;Sim;10/02/2022;0000000392
0464;Não;01;Sim;10/02/2022;0000000393
0465;Não;01;Sim;10/02/2022;0000000394
0466;Não;01;Sim;10/02/2022;0000000395
0467;Não;01;Sim;10/02/2022;0000000396
0468;Não;01;Sim;10/02/2022;0000000398
0469;Não;01;Sim;10/02/2022;0000000399
0470;Não;01;Sim;10/02/2022;0000000400
0471;Não;01;Sim;10/02/2022;0000000401
0472;Não;01;Sim;10/02/2022;0000000402
0473;Não;01;Sim;10/02/2022;0000000403
0474;Não;01;Sim;10/02/2022;0000000404
0475;Não;01;Sim;10/02/2022;0000000405
0476;Não;01;Sim;14/02/2022;0000000438
0477;Não;01;Sim;14/02/2022;0000000439
0478;Não;01;Sim;15/02/2022;0000000479
0479;Não;01;Sim;15/02/2022;0000000480
0480;Não;;Sim;15/02/2022;0000000481
0481;Não;01;Sim;15/02/2022;0000000482
0482;Não;01;Sim;15/02/2022;0000000483
0483;Não;01;Sim;15/02/2022;0000000484
0484;Não;01;Sim;15/02/2022;0000000485
0485;Não;01;Sim;15/02/2022;0000000486
0486;Não;01;Sim;15/02/2022;0000000487
0487;Não;01;Sim;15/02/2022;0000000488
0488;Não;01;Sim;15/02/2022;0000000489
0489;Não;01;Sim;15/02/2022;0000000490
0490;Não;01;Sim;15/02/2022;0000000491
0491;Não;01;Sim;15/02/2022;0000000492
0492;Não;01;Sim;15/02/2022;0000000506
0493;Não;01;Sim;15/02/2022;0000000507
0494;Não;01;Sim;16/02/2022;0000000508
0495;Não;01;Sim;16/02/2022;0000000509
0496;Não;01;Sim;16/02/2022;0000000510
0497;Não;01;Sim;16/02/2022;0000000511
0498;Não;01;Sim;16/02/2022;0000000512
0499;Não;01;Sim;16/02/2022;0000000513
0500;Não;01;Sim;16/02/2022;0000000514
0501;Não;01;Sim;16/02/2022;0000000515
0502;Não;01;Sim;16/02/2022;0000000516
0503;Não;01;Sim;16/02/2022;0000000517
0504;Não;01;Sim;16/02/2022;0000000518
0505;Não;04;Sim;16/02/2022;0000000519
0506;Não;01;Sim;16/02/2022;0000000520
0507;Não;01;Sim;16/02/2022;0000000521
0508;Não;01;Sim;16/02/2022;0000000522
0509;Não;01;Sim;15/02/2022;0000000493
0510;Não;01;Sim;17/02/2022;0000000523
0511;Não;14;Sim;17/02/2022;0000000524
0512;Não;14;Sim;17/02/2022;0000000525
0513;Não;14;Sim;09/06/2022;0000000752
0514;Não;14;Sim;09/06/2022;0000000748
0515;Não;14;Nao;//;
0516;Não;14;Sim;18/02/2022;0000000526
0517;Não;14;Sim;18/02/2022;0000000527
0518;Não;14;Sim;18/02/2022;0000000528
0519;Não;14;Sim;18/02/2022;0000000529
0520;Não;12;Sim;10/06/2022;0000000769
0521;Não;01;Sim;18/02/2022;0000000531
0522;Não;14;Sim;18/02/2022;0000000530
0523;Não;10;Sim;18/02/2022;0000000533
0524;Não;14;Sim;18/02/2022;0000000532
0525;Não;14;Sim;18/02/2022;0000000534
0526;Não;14;Sim;18/02/2022;0000000535
0527;Não;14;Sim;18/02/2022;0000000536
0528;Não;14;Sim;18/02/2022;0000000538
0529;Não;14;Sim;18/02/2022;0000000539
Etiqueta;Bloqueado?;Local;Emuso;DataVinculo;Cod.Item
0530;Não;14;Sim;18/02/2022;0000000537
0531;Não;14;Sim;21/02/2022;0000000540
0532;Não;14;Sim;22/02/2022;0000000541
0533;Não;01;Sim;22/02/2022;0000000542
0534;Não;12;Sim;26/04/2022;0000000583
0535;Não;12;Sim;26/04/2022;0000000584
0536;Não;12;Sim;09/06/2022;0000000719
0537;Não;12;Sim;09/06/2022;0000000720
0538;Não;12;Nao;//;
0539;Não;12;Sim;07/06/2022;0000000633
0540;Não;12;Nao;//;
0541;Não;12;Nao;//;
0542;Não;12;Sim;10/06/2022;0000000778
0543;Não;12;Sim;09/06/2022;0000000706
