01;ARMAZEM VILA MATILDE;Padrao;Não
02;ARMAZEM ALMIRANTE;Padrao;
03;MCR;Padrao;
04;GARENA;Padrao;
05;RIOT GAMES;Padrao;
06;TVN;Padrao;
07;TESTE CASA.26;Movel;
09;REPUBLICA DO LIBANO;Externo;
10;CASA 54;Movel;
11;APOIO 02;Movel;
12;CASA 56;Movel;
13;EQUIPAMENTOS EMPRESTADOS/ALUGADO;Externo;
14;CASA 55;Movel;
15;CASA 45;Movel;
16;CASA.53;Movel;
17;CASA.07;Movel;
18;PREDIO CINELIVE;Padrao;
19;CASA.20;Movel;
20;CASA 32;Externo;
21;CASA 03;Externo;
22;CASA.46;Externo;
23;V. LINE UP;Externo;
24;CASA 36;Externo;
25;CASA 31;Externo;
26;CASA 38;Movel;
27;JOB CENTAURO;Externo;
28;LINE UP ENGENHARIA;Externo;
