FRAME DPS 475  LEITCH;DPS 475;BG475A0048;4156;;ALMOX-A3;10/08/2023;ALM A4 12/09/2021(INVT 08/2023);;
CHAVE XTC-114D XICOM.TECNOLOGY;XTC-114D;4388;4440;CASA.17;CASA.03;17/08/2023;INSTALADO C.03 17/08/2023 (ANDRES);;
DECODER DR5000 ATEME;DR5000 HEVC;1720-05698;4427;CASA.17;CASA.03;17/08/2023;INSTALADO C.03 17/08/2023 (ANDRES);;
DECODER DR5000 ATEME;DR5000 HEVC;1842-07966;7094;CASA.28;CASA.28;27/07/2023;INSTALADO C.28 01/06/2023 PAULO KENNEDY (INVT);;
ENCODER CM5000 ATEME;CM5000;1327-00612;4435;CASA.17;CASA.03;17/08/2023;INSTALADO C.03 17/08/2023 (ANDRES);;
ENCODER CM5000 ATEME;CM5000;1416-01411;7088;CASA.07;CASA.28;27/07/2023;INVT 2023 CASA.07;;
ENCODER CM5000 ATEME;CM5000;1416-01414;7087;CASA.07;CASA.28;27/07/2023;INSTALADO C.28 01/06/2023 PAULO KENNEDY (INVT);;
FRAME FA-9500 FOR A;FA-9500;13712308;7096;CASA.28;CASA.28;27/07/2023;INSTALADO C.28 01/06/2023 PAULO KENNEDY (INVT);08/10/2020 (TRANSLINK);
FRAME FA-9500 FOR A;FA-9500;13711494;4430;CASA.43;CASA.03;17/08/2023;INSTALADO C.03 17/08/2023 (ANDRES);;
FRAME FA-9500 FOR A;FA-9500;13713353;4429;CASA.17;CASA.03;17/08/2023;INSTALADO C.03 17/08/2023 (ANDRES);;
FRAME FA-9500 FOR A;FA-9500;13711471;7095;CASA.28;CASA.28;27/07/2023;INSTALADO C.28 01/06/2023 PAULO KENNEDY (INVT);;
GERADOR 8HDKAU-4193R CUMMINS;8HDKAU-4193R;B140634026;7319;CASA.28;CASA.28;27/07/2023;INSTALADO C.28 01/06/2023 PAULO KENNEDY (INVT);;
HPA XTRD-400C XIC TECH (NOVO);XTRD400C;22388;4413;BETA MANUTENÇÃO;CASA.03;17/08/2023;INSTALADO C.03 17/08/2023 (ANDRES);;VERIFICAR SR: ORIGINAL
HPA XTRD-400C XIC TECH (NOVO);XTRD400C;22387;4424;CASA.17;CASA.03;17/08/2023;INSTALADO C.03 17/08/2023 (ANDRES);;
HPA XTRD-750C XICOM TECH;XTRD-750C ;54432;4422;ALMOX;CASA.28;27/07/2023;INSTALADO C.28 01/06/2023 PAULO KENNEDY (INVT);03/08/2020;
HPA XTRD-750C XICOM TECH;XTRD-750C ;54431;7104;CASA.28;CASA.28;27/07/2023;INSTALADO C.28 01/06/2023 PAULO KENNEDY (INVT);03/08/2020;
MODULDOR AZ110 NEWTEC;AZ110;40001844;7091;CASA.28;CASA.28;27/07/2023;INSTALADO C.28 01/06/2023 PAULO KENNEDY (INVT);05/07/2022 (NÃO CONST. SIST);
MODULDOR AZ110 NEWTEC;AZ110 (TRANS);40003503;4159;CASA.03;CASA.28;27/07/2023;INSTALADO C.28 01/06/2023 PAULO KENNEDY (INVT);;
MODULDOR AZ110 NEWTEC;AZ110 UP 16APSK;40002522;4434;CASA.17;CASA.03;17/08/2023;INSTALADO C.03 17/08/2023 (ANDRES);ALTERADO  SN : 40001848;
MODULDOR AZ110 NEWTEC;AZ110;40001849;4433;CASA.17;CASA.03;17/08/2023;INSTALADO C.03 17/08/2023 (ANDRES);;
MONITOR  AUDIO AMP2-S8 WOHLER;AMP2-S8;121887;4899;CONTEINER BRANCO;CASA.28;27/07/2023;INSTALADO C.28 01/06/2023 PAULO KENNEDY (INVT);28/03/2022 - DI-22/0566706-7;
MONITOR AUD AMP1A-LP10S WOHLER;AMP1A-LP10S;122505;4428;CASA.03;CASA.03;28/07/2023;INSTALADO C.03 28/07/2023 (INVT) 2023;;
MONITOR DUO S.V BLACK MAGIC;DUO S.V;1732148;8622;ALMOX;CASA.28;27/07/2023;INSTALADO C.28 26/07/2023 (LUCAS/PAULO KENNEDY);;
MONITOR PBM-217S PLURA;PBM-217S;10KPL170L280171;4432;CASA.03;CASA.03;28/07/2023;INSTALADO C.03 28/07/2023 (INVT) 2023;;
